tipo_aplicacion,plataforma,objetivos,lenguajes,frameworks,librerias
web,pc,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,movil,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,pc,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,multiplataforma,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,movil,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,pc,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,multiplataforma,educativo,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,movil,e-commerce,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,pc,blog,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,multiplataforma,red social,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,movil,juegos casuales,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
juegos,pc,ofimática,"['Java', 'C#']",['Unity'],"['Photon', 'Cinemachine']"
web,multiplataforma,productividad,"['Python', 'JavaScript']","['Django', 'React']","['Stripe', 'Axios']"
movil,movil,chatbot,"['Kotlin', 'Swift']",['Flutter'],"['Firebase', 'Lottie']"
desktop,pc,vision por computadora,"['C++', 'C#']","['WPF', 'Swing']","['Electron', 'SQLite']"
IA,multiplataforma,simulador,['Python'],['Flask'],"['TensorFlow', 'spaCy']"
